content_id,client_id,action_rank,predicted_decline_probability,action_label,reason_code,impressions_90d,content_age_days,avg_position,days_since_last_update,content_type,main_intent
content_4059689bfb3f,client_3fdba35f04,73,0.7635,refresh_now,model_flagged,541,284,6.0,104,keyword article,transactional
content_2d914d050b1e,client_6208ef0f77,74,0.7635,refresh_now,model_flagged,126,229,22.3,104,keyword article,
content_591340797e81,client_6208ef0f77,75,0.7633,refresh_now,model_flagged,555,229,7.2,104,keyword article,
content_212e86a9fe84,client_3fdba35f04,76,0.7633,refresh_now,model_flagged,365,263,20.9,104,keyword article,commercial
content_b01a3c1455db,client_7f2253d7e2,77,0.7631,refresh_now,high_visibility,22184,141,31.2,20,keyword article,informational
content_b6ee9312372b,client_7f2253d7e2,78,0.763,refresh_now,model_flagged,225,172,11.3,20,keyword article,
content_bb499af42eb7,client_3fdba35f04,79,0.7625,refresh_now,model_flagged,1497,165,37.4,104,keyword article,transactional
content_bf0267d876b0,client_7f2253d7e2,80,0.7624,refresh_now,model_flagged,371,169,15.1,20,keyword article,
content_55a1a3b15410,client_3fdba35f04,81,0.7623,refresh_now,model_flagged,817,174,14.7,104,keyword article,transactional
content_790d054f7ecc,client_7f2253d7e2,82,0.7622,refresh_now,model_flagged,184,169,10.6,20,keyword article,
content_697b8ec3a13f,client_7f2253d7e2,83,0.7621,refresh_now,model_flagged,183,169,22.8,20,keyword article,
content_6e795d276edb,client_3fdba35f04,84,0.762,refresh_now,model_flagged,271,223,6.2,104,keyword article,commercial
content_ae56011a24de,client_624b60c58c,85,0.762,refresh_now,model_flagged,302,102,4.2,8,feedly article,
content_25a763874cf0,client_3fdba35f04,86,0.762,refresh_now,model_flagged,908,144,27.4,104,keyword article,informational
content_fc7c3c7271cb,client_7f2253d7e2,87,0.762,refresh_now,high_visibility,22336,141,30.4,20,keyword article,informational
content_5dcd9c312d22,client_3fdba35f04,88,0.762,refresh_now,model_flagged,1196,284,21.0,104,keyword article,informational
content_da78e7cf2410,client_3fdba35f04,89,0.7619,refresh_now,model_flagged,874,139,6.8,104,keyword article,commercial
content_1100bd1bcf09,client_6208ef0f77,90,0.7619,refresh_now,model_flagged,668,229,16.8,104,keyword article,
content_1d58cdcf8bca,client_7f2253d7e2,91,0.7618,refresh_now,high_visibility,48471,132,37.6,20,keyword article,informational
content_318957423f66,client_3fdba35f04,92,0.7616,refresh_now,model_flagged,927,284,23.3,104,keyword article,transactional
content_e526c1ac1168,client_3fdba35f04,93,0.7615,refresh_now,model_flagged,519,165,7.0,104,keyword article,informational
content_52acfbf813f7,client_7f2253d7e2,94,0.7614,refresh_now,model_flagged,279,169,17.9,20,keyword article,
content_3db36d3c70db,client_7f2253d7e2,95,0.7612,refresh_now,high_visibility,26326,141,29.4,20,keyword article,informational
content_b74feecbc11b,client_3fdba35f04,96,0.7612,refresh_now,model_flagged,296,148,34.5,104,keyword article,informational
content_d6570c51c9bd,client_3fdba35f04,97,0.7612,refresh_now,model_flagged,2498,165,10.1,104,keyword article,informational
content_5887fd3d2bbf,client_3fdba35f04,98,0.7611,refresh_now,model_flagged,838,165,13.1,104,keyword article,informational
content_021bc08109a8,client_3fdba35f04,99,0.7607,refresh_now,model_flagged,1818,310,7.1,104,keyword article,transactional
content_b51e2e4d22ff,client_7f2253d7e2,100,0.7606,refresh_now,high_visibility,91795,141,41.2,20,keyword article,informational
content_6e3c3a20e837,client_7f2253d7e2,101,0.7604,refresh_now,model_flagged,452,172,18.9,20,keyword article,
content_d0e81e632d6f,client_3fdba35f04,102,0.7603,refresh_now,model_flagged,1076,144,25.8,104,keyword article,informational
content_7b12b2c530d6,client_3fdba35f04,103,0.7602,refresh_now,model_flagged,289,165,33.3,104,keyword article,informational
